3	337	1
3	284	2
3	303	3
3	270	4
3	540	5
3	560	6
3	339	7
3	315	8
3	414	9
3	467	10
3	452	11
3	446	12
3	451	13
3	490	14
3	447	15
3	352	16
3	578	17
3	209	18
3	534	19
3	472	20
3	579	21
3	632	22
3	630	23
3	493	24
3	327	25
4	281	1
4	338	2
4	307	3
4	348	4
4	330	5
4	579	6
4	340	7
4	414	8
4	339	9
4	337	10
4	347	11
4	349	12
4	550	13
4	710	14
4	560	15
4	327	16
4	451	17
4	525	18
4	687	19
4	586	20
4	688	21
4	397	22
4	632	23
4	431	24
4	611	25
5	579	1
5	281	2
5	710	3
5	414	4
5	731	5
5	540	6
5	566	7
5	408	8
5	611	9
5	290	10
5	549	11
5	490	12
5	448	13
5	284	14
5	303	15
5	550	16
5	709	17
5	631	18
5	608	19
5	410	20
5	728	21
5	390	22
5	504	23
5	328	24
5	331	25
8	419	1
8	379	2
8	533	3
8	526	4
8	295	5
8	209	6
8	341	7
8	358	8
8	541	9
8	552	10
8	550	11
8	314	12
8	207	13
8	452	14
8	555	15
8	281	16
8	484	17
8	353	18
8	350	19
8	549	20
8	566	21
8	668	22
8	357	23
8	463	24
8	183	25
41	454	1
41	669	2
41	559	3
41	553	4
41	477	5
41	557	6
41	384	7
41	366	8
41	428	9
41	365	10
41	563	11
41	350	12
41	467	13
41	209	14
41	555	15
41	225	16
41	353	17
41	194	18
41	432	19
41	554	20
41	190	21
41	239	22
41	368	23
41	370	24
41	628	25
43	303	1
43	532	2
43	306	3
43	731	4
43	390	5
43	224	6
43	565	7
43	396	8
43	247	9
43	184	10
43	583	11
43	305	12
43	182	13
43	483	14
43	398	15
43	399	16
43	363	17
43	369	18
43	558	19
43	608	20
43	357	21
43	463	22
43	708	23
43	748	24
43	707	25
46	303	1
46	305	2
46	323	3
46	182	4
46	184	5
46	515	6
46	627	7
46	216	8
46	235	9
46	314	10
46	336	11
46	390	12
46	391	13
46	396	14
46	468	15
46	469	16
46	470	17
46	471	18
46	475	19
46	488	20
46	492	21
46	497	22
46	504	23
46	507	24
46	508	25
48	303	1
48	305	2
48	323	3
48	182	4
48	184	5
48	515	6
48	627	7
48	216	8
48	235	9
48	314	10
48	336	11
48	390	12
48	391	13
48	396	14
48	468	15
48	469	16
48	470	17
48	471	18
48	475	19
48	488	20
48	492	21
48	497	22
48	504	23
48	507	24
48	508	25
49	183	1
49	549	2
49	510	3
49	511	4
49	290	5
49	284	6
49	303	7
49	390	8
49	427	9
49	731	10
49	206	11
49	540	12
49	320	13
49	352	14
49	455	15
49	261	16
49	564	17
49	565	18
49	295	19
49	490	20
49	710	21
49	376	22
49	225	23
49	467	24
49	748	25
53	337	1
53	284	2
53	303	3
53	270	4
53	540	5
53	560	6
53	339	7
53	315	8
53	414	9
53	467	10
53	452	11
53	446	12
53	451	13
53	490	14
53	447	15
53	352	16
53	578	17
